date,year,month,day,dow,od_pair,market_country,dest_country,n_flights,total_capacity,expected_demand,latent_seats,yield_economy_usd,shock_factor,seasonal_index,dow_factor,trend_factor
2015-01-01,2015,1,1,3,AE→US,AE,US,2,982,712.8,724,871.81,1.0,1.02,1.02,1.0
2015-01-02,2015,1,2,4,AE→US,AE,US,2,982,784.8,821,934.43,1.0,1.02,1.15,1.0
2015-01-03,2015,1,3,5,AE→US,AE,US,2,982,692.1,676,853.86,1.0,1.02,0.92,1.0
2015-01-04,2015,1,4,6,AE→US,AE,US,2,982,736.3,749,892.23,1.0,1.02,1.06,1.0
2015-01-05,2015,1,5,0,AE→US,AE,US,2,982,642.9,625,811.06,1.0,1.02,1.05,1.0
2015-01-06,2015,1,6,1,AE→US,AE,US,2,982,566.8,572,744.88,1.0,1.02,0.88,1.0
2015-01-07,2015,1,7,2,AE→US,AE,US,2,982,688.0,729,850.26,1.0,1.02,0.92,1.0
2015-01-08,2015,1,8,3,AE→US,AE,US,2,982,610.4,651,782.74,1.0,1.02,1.02,1.0
2015-01-09,2015,1,9,4,AE→US,AE,US,2,982,857.5,852,997.65,1.0,1.02,1.15,1.0
2015-01-10,2015,1,10,5,AE→US,AE,US,2,982,729.2,752,886.09,1.0,1.02,0.92,1.0
2015-01-11,2015,1,11,6,AE→US,AE,US,2,982,709.2,682,868.69,1.0,1.02,1.06,1.0
2015-01-12,2015,1,12,0,AE→US,AE,US,2,982,695.1,648,856.41,1.0,1.02,1.05,1.0
2015-01-13,2015,1,13,1,AE→US,AE,US,2,982,604.2,599,777.37,1.0,1.02,0.88,1.0
2015-01-14,2015,1,14,2,AE→US,AE,US,2,982,604.8,569,777.93,1.0,1.02,0.92,1.0
2015-01-15,2015,1,15,3,AE→US,AE,US,2,982,685.8,672,848.36,1.0,1.02,1.02,1.0
2015-01-16,2015,1,16,4,AE→US,AE,US,2,982,820.3,793,965.26,1.0,1.02,1.15,1.0
2015-01-17,2015,1,17,5,AE→US,AE,US,2,982,616.8,627,788.39,1.0,1.02,0.92,1.0
2015-01-18,2015,1,18,6,AE→US,AE,US,2,982,821.7,835,966.51,1.0,1.02,1.06,1.0
2015-01-19,2015,1,19,0,AE→US,AE,US,2,982,732.9,720,889.31,1.0,1.02,1.05,1.0
2015-01-20,2015,1,20,1,AE→US,AE,US,2,982,634.6,676,803.81,1.0,1.02,0.88,1.0
2015-01-21,2015,1,21,2,AE→US,AE,US,2,982,630.4,596,800.17,1.0,1.02,0.92,1.0
2015-01-22,2015,1,22,3,AE→US,AE,US,2,982,674.9,637,838.85,1.0,1.02,1.02,1.0
2015-01-23,2015,1,23,4,AE→US,AE,US,2,982,825.5,817,969.86,1.0,1.02,1.15,1.0
2015-01-24,2015,1,24,5,AE→US,AE,US,2,982,688.3,681,850.53,1.0,1.02,0.92,1.0
2015-01-25,2015,1,25,6,AE→US,AE,US,2,982,849.8,830,990.94,1.0,1.02,1.06,1.0
2015-01-26,2015,1,26,0,AE→US,AE,US,2,982,711.0,774,870.24,1.0,1.02,1.05,1.0
2015-01-27,2015,1,27,1,AE→US,AE,US,2,982,633.0,641,802.39,1.0,1.02,0.88,1.0
2015-01-28,2015,1,28,2,AE→US,AE,US,2,982,678.4,694,841.88,1.0,1.02,0.92,1.0
2015-01-29,2015,1,29,3,AE→US,AE,US,2,982,801.4,803,948.87,1.0,1.02,1.02,1.0
2015-01-30,2015,1,30,4,AE→US,AE,US,2,982,846.0,818,987.67,1.0,1.02,1.15,1.0
