date,year,month,day,od_pair,market_country,dest_country,constrained_seats,latent_seats,total_capacity,censored_flights,em_seats,pd_seats,naive_seats,is_censored
2015-01-01,2015,1,1,AE→US,AE,US,836.0,835,982,0,836.0,836.0,836.0,0
2015-01-01,2015,1,1,AU→US,AU,US,3081.0,3187,3327,4,3081.0,3081.0,3081.0,1
2015-01-01,2015,1,1,CN→CA,CN,CA,484.0,485,516,0,484.0,484.0,484.0,0
2015-01-01,2015,1,1,CN→US,CN,US,2195.0,2202,2700,0,2195.0,2195.0,2195.0,0
2015-01-01,2015,1,1,DE→US,DE,US,319.0,319,396,0,319.0,319.0,319.0,0
2015-01-01,2015,1,1,GB→US,GB,US,529.0,531,702,0,529.0,529.0,529.0,0
2015-01-01,2015,1,1,HK→CA,HK,CA,613.0,615,792,0,613.0,613.0,613.0,0
2015-01-01,2015,1,1,HK→US,HK,US,533.0,534,702,0,533.0,533.0,533.0,0
2015-01-01,2015,1,1,JP→CA,JP,CA,464.0,465,516,0,464.0,464.0,464.0,0
2015-01-01,2015,1,1,JP→US,JP,US,2414.0,2461,2712,2,2414.0,2414.0,2414.0,1
2015-01-01,2015,1,1,KR→CA,KR,CA,458.0,456,516,0,458.0,458.0,458.0,0
2015-01-01,2015,1,1,KR→US,KR,US,1491.0,1499,1614,0,1491.0,1491.0,1491.0,0
2015-01-01,2015,1,1,SG→US,SG,US,799.0,790,934,0,799.0,799.0,799.0,0
2015-01-01,2015,1,1,TW→US,TW,US,1114.0,1120,1308,0,1114.0,1114.0,1114.0,0
2015-01-02,2015,1,2,AE→US,AE,US,898.0,938,982,1,898.0,898.0,898.0,1
2015-01-02,2015,1,2,AU→US,AU,US,3243.0,3717,3327,8,3243.0,3243.0,3243.0,1
2015-01-02,2015,1,2,CN→CA,CN,CA,493.0,496,516,0,493.0,493.0,493.0,0
2015-01-02,2015,1,2,CN→US,CN,US,2403.0,2432,2700,2,2403.0,2403.0,2403.0,1
2015-01-02,2015,1,2,DE→US,DE,US,319.0,320,396,0,319.0,319.0,319.0,0
2015-01-02,2015,1,2,GB→US,GB,US,583.0,607,702,1,583.0,583.0,583.0,1
2015-01-02,2015,1,2,HK→CA,HK,CA,654.0,656,792,0,654.0,654.0,654.0,0
2015-01-02,2015,1,2,HK→US,HK,US,546.0,547,702,0,546.0,546.0,546.0,0
2015-01-02,2015,1,2,JP→CA,JP,CA,504.0,546,516,2,504.0,504.0,504.0,1
2015-01-02,2015,1,2,JP→US,JP,US,2646.0,2954,2712,7,2646.0,2646.0,2646.0,1
2015-01-02,2015,1,2,KR→CA,KR,CA,504.0,581,516,2,504.0,504.0,504.0,1
2015-01-02,2015,1,2,KR→US,KR,US,1548.0,1782,1614,4,1548.0,1548.0,1548.0,1
2015-01-02,2015,1,2,SG→US,SG,US,840.0,839,934,1,840.0,840.0,840.0,1
2015-01-02,2015,1,2,TW→US,TW,US,1103.0,1104,1308,0,1103.0,1103.0,1103.0,0
2015-01-03,2015,1,3,AE→US,AE,US,725.0,722,982,0,725.0,725.0,725.0,0
2015-01-03,2015,1,3,AU→US,AU,US,3031.0,3061,3327,2,3031.0,3031.0,3031.0,1
2015-01-03,2015,1,3,CN→CA,CN,CA,346.0,346,516,0,346.0,346.0,346.0,0
2015-01-03,2015,1,3,CN→US,CN,US,2113.0,2121,2700,0,2113.0,2113.0,2113.0,0
2015-01-03,2015,1,3,DE→US,DE,US,296.0,297,396,0,296.0,296.0,296.0,0
2015-01-03,2015,1,3,GB→US,GB,US,468.0,469,702,0,468.0,468.0,468.0,0
2015-01-03,2015,1,3,HK→CA,HK,CA,576.0,577,792,0,576.0,576.0,576.0,0
2015-01-03,2015,1,3,HK→US,HK,US,427.0,428,702,0,427.0,427.0,427.0,0
2015-01-03,2015,1,3,JP→CA,JP,CA,459.0,457,516,0,459.0,459.0,459.0,0
2015-01-03,2015,1,3,JP→US,JP,US,2163.0,2163,2712,0,2163.0,2163.0,2163.0,0
2015-01-03,2015,1,3,KR→CA,KR,CA,461.0,460,516,0,461.0,461.0,461.0,0
2015-01-03,2015,1,3,KR→US,KR,US,1329.0,1335,1614,0,1329.0,1329.0,1329.0,0
2015-01-03,2015,1,3,SG→US,SG,US,655.0,647,934,0,655.0,655.0,655.0,0
2015-01-03,2015,1,3,TW→US,TW,US,870.0,872,1308,0,870.0,870.0,870.0,0
2015-01-04,2015,1,4,AE→US,AE,US,756.0,753,982,0,756.0,756.0,756.0,0
2015-01-04,2015,1,4,AU→US,AU,US,3139.0,3387,3327,5,3139.0,3139.0,3139.0,1
2015-01-04,2015,1,4,CN→CA,CN,CA,486.0,502,516,1,486.0,486.0,486.0,1
