date,year,month,day,od_pair,market_country,dest_country,pax,seats_capacity,n_flights,censored_flights,naive_total_est,em_total_est,pd01_total_est,pd03_total_est,pd05_total_est,pd07_total_est,pd09_total_est
2015-01-01,2015,1,1,AE→US,AE,US,724,982,2,0,724.0,724.0,724.0,724.0,724.0,724.0,724.0
2015-01-01,2015,1,1,AU→US,AU,US,2447,3327,10,0,2447.0,2447.0,2447.0,2447.0,2447.0,2447.0,2447.0
2015-01-01,2015,1,1,CN→CA,CN,CA,376,516,2,0,376.0,376.0,376.0,376.0,376.0,376.0,376.0
2015-01-01,2015,1,1,CN→US,CN,US,1968,2700,8,1,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0,1968.0
2015-01-01,2015,1,1,DE→US,DE,US,239,396,1,0,239.0,239.0,239.0,239.0,239.0,239.0,239.0
2015-01-01,2015,1,1,GB→US,GB,US,459,702,2,0,459.0,459.0,459.0,459.0,459.0,459.0,459.0
2015-01-01,2015,1,1,HK→CA,HK,CA,497,792,2,0,497.0,497.0,497.0,497.0,497.0,497.0,497.0
2015-01-01,2015,1,1,HK→US,HK,US,452,702,2,0,452.0,452.0,452.0,452.0,452.0,452.0,452.0
2015-01-01,2015,1,1,JP→CA,JP,CA,321,516,2,0,321.0,321.0,321.0,321.0,321.0,321.0,321.0
2015-01-01,2015,1,1,JP→US,JP,US,2189,2712,9,1,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0,2189.0
2015-01-01,2015,1,1,KR→CA,KR,CA,427,516,2,0,427.0,427.0,427.0,427.0,427.0,427.0,427.0
2015-01-01,2015,1,1,KR→US,KR,US,1296,1614,5,2,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0,1296.0
2015-01-01,2015,1,1,SG→US,SG,US,621,934,4,0,621.0,621.0,621.0,621.0,621.0,621.0,621.0
2015-01-01,2015,1,1,TW→US,TW,US,925,1308,4,0,925.0,925.0,925.0,925.0,925.0,925.0,925.0
2015-01-02,2015,1,2,AE→US,AE,US,820,982,2,1,820.0,820.0,820.0,820.0,820.0,820.0,820.0
2015-01-02,2015,1,2,AU→US,AU,US,3171,3327,10,8,3171.0,3171.0,3171.0,3171.0,3171.0,3171.0,3171.0
2015-01-02,2015,1,2,CN→CA,CN,CA,303,516,2,0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
2015-01-02,2015,1,2,CN→US,CN,US,2152,2700,8,3,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0,2152.0
2015-01-02,2015,1,2,DE→US,DE,US,320,396,1,0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
2015-01-02,2015,1,2,GB→US,GB,US,600,702,2,1,600.0,600.0,600.0,600.0,600.0,600.0,600.0
2015-01-02,2015,1,2,HK→CA,HK,CA,566,792,2,1,566.0,566.0,566.0,566.0,566.0,566.0,566.0
2015-01-02,2015,1,2,HK→US,HK,US,566,702,2,0,566.0,566.0,566.0,566.0,566.0,566.0,566.0
2015-01-02,2015,1,2,JP→CA,JP,CA,378,516,2,1,378.0,378.0,378.0,378.0,378.0,378.0,378.0
2015-01-02,2015,1,2,JP→US,JP,US,2157,2712,9,2,2157.0,2157.0,2157.0,2157.0,2157.0,2157.0,2157.0
2015-01-02,2015,1,2,KR→CA,KR,CA,452,516,2,0,452.0,452.0,452.0,452.0,452.0,452.0,452.0
2015-01-02,2015,1,2,KR→US,KR,US,1210,1614,5,1,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0,1210.0
2015-01-02,2015,1,2,SG→US,SG,US,747,934,4,0,747.0,747.0,747.0,747.0,747.0,747.0,747.0
2015-01-02,2015,1,2,TW→US,TW,US,961,1308,4,1,961.0,961.0,961.0,961.0,961.0,961.0,961.0
2015-01-03,2015,1,3,AE→US,AE,US,674,982,2,1,674.0,674.0,674.0,674.0,674.0,674.0,674.0
2015-01-03,2015,1,3,AU→US,AU,US,2214,3327,10,2,2214.0,2214.0,2214.0,2214.0,2214.0,2214.0,2214.0
2015-01-03,2015,1,3,CN→CA,CN,CA,399,516,2,0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
2015-01-03,2015,1,3,CN→US,CN,US,1602,2700,8,0,1602.0,1602.0,1602.0,1602.0,1602.0,1602.0,1602.0
2015-01-03,2015,1,3,DE→US,DE,US,224,396,1,0,224.0,224.0,224.0,224.0,224.0,224.0,224.0
2015-01-03,2015,1,3,GB→US,GB,US,473,702,2,1,473.0,473.0,473.0,473.0,473.0,473.0,473.0
2015-01-03,2015,1,3,HK→CA,HK,CA,431,792,2,0,431.0,431.0,431.0,431.0,431.0,431.0,431.0
2015-01-03,2015,1,3,HK→US,HK,US,426,702,2,0,426.0,426.0,426.0,426.0,426.0,426.0,426.0
2015-01-03,2015,1,3,JP→CA,JP,CA,345,516,2,0,345.0,345.0,345.0,345.0,345.0,345.0,345.0
2015-01-03,2015,1,3,JP→US,JP,US,1905,2712,9,0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0
2015-01-03,2015,1,3,KR→CA,KR,CA,326,516,2,0,326.0,326.0,326.0,326.0,326.0,326.0,326.0
2015-01-03,2015,1,3,KR→US,KR,US,1112,1614,5,0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0,1112.0
2015-01-03,2015,1,3,SG→US,SG,US,611,934,4,0,611.0,611.0,611.0,611.0,611.0,611.0,611.0
2015-01-03,2015,1,3,TW→US,TW,US,687,1308,4,0,687.0,687.0,687.0,687.0,687.0,687.0,687.0
2015-01-04,2015,1,4,AE→US,AE,US,749,982,2,0,749.0,749.0,749.0,749.0,749.0,749.0,749.0
2015-01-04,2015,1,4,AU→US,AU,US,2351,3327,10,0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0,2351.0
